x1,x2,class
-0.023733,0.62456,1
-0.167742,0.60994,1
-0.28871,0.61725,1
-0.45,0.42719,1
-0.58825,0.39064,1
-0.59977,0.1348,1
-0.47304,-0.040643,1
-0.38088,-0.26725,1
-0.058295,-0.47924,1
0.05691,-0.58889,1
0.31037,-0.64006,1
0.45438,-0.5962,1
0.56382,-0.31842,1
0.66175,-0.25994,1
0.47166,0.41257,1
0.247,0.5076,1
0.09147,0.46374,1
-0.121659,0.74152,1
-0.24839,0.62456,1
-0.55369,0.55877,1
-0.68041,0.52222,1
-0.70346,0.25906,1
-0.66889,-0.069883,1
-0.49608,-0.34766,1
-0.19078,-0.47193,1
0.12604,-0.67661,1
0.39101,-0.61082,1
0.59839,-0.61082,1
-0.21382,0.47105,1
-0.36935,0.70497,1
-0.34055,0.88772,1
-0.23687,0.7269,1
-0.24839,0.57339,1
-0.35783,0.39795,1
-0.43848,0.23713,1
-0.37512,-0.047953,1
-0.31175,-0.28918,1
-0.13894,-0.25994,1
-0.012212,-0.23801,1
0.15484,-0.48655,1
0.2182,-0.3038,1
0.40829,-0.25994,1
0.56959,-0.21608,1
0.38525,-0.062573,1
0.5523,0.08363,1
0.50046,0.19327,1
0.65023,0.36871,1
0.14908,0.44912,1
0.36797,0.59532,1
0.247,0.61725,1
0.06267,0.50029,1
-0.0813364,0.32485,1
-0.167742,0.47836,1
-0.28295,0.28099,1
-0.28295,0.09825,1
-0.51336,0.14211,1
-0.29447,-0.091813,1
-0.21382,-0.34766,1
0.10876,0.85848,0
0.14908,0.70497,0
0.22396,0.54415,0
0.43134,0.68304,0
0.54078,0.6538,0
0.52926,0.52222,0
0.69055,0.42719,0
0.85184,0.2883,0
0.74816,0.20058,0
0.88641,0.010526,0
0.86336,-0.062573,0
0.78848,-0.157602,0
0.82304,-0.28187,0
0.77696,-0.44269,0
0.75392,-0.5962,0
0.71935,-0.63275,0
0.51774,-0.8155,0
0.44286,-0.6693,0
0.39101,-0.49386,0
0.27581,-0.65468,0
0.21244,-0.84474,0
0.010829,-0.83012,0
0.07419,-0.65468,0
-0.20806,-0.5231,0
-0.48456,-0.48655,0
-0.46728,-0.33304,0
-0.81866,-0.33304,0
-0.77258,-0.033333,0
-0.83018,0.2152,0
-0.77258,0.60994,0
-0.4788,0.63187,0
-0.45576,0.84386,0
-0.58249,0.82924,0
-0.62281,0.63187,0
0.02811,0.70497,0
-0.017972,0.84386,0
-0.17926,0.91696,0
-0.156221,1.0339,0
0.21244,1.012,0
0.32189,0.74883,0
0.56382,0.81462,0
0.74816,0.58801,0
0.59839,0.56608,0
0.9959,0.02515,0
-0.121659,-0.65468,0
-0.31175,-0.71316,0
-0.22535,-0.44269,0
-0.56521,-0.3769,0
-0.54217,-0.20877,0
-0.36359,-0.135673,0
-0.68618,-0.142982,0
-0.73802,-0.28918,0
-0.67465,-0.49386,0
-0.80138,-0.157602,0
-0.90507,0.23713,0
-0.79562,0.46374,0
-0.66889,0.41988,0
-0.55945,0.92427,0
-0.0813364,0.92427,0
0.55765,-0.105612,0
0.051267,0.69956,1
-0.092742,0.68494,1
-0.21371,0.69225,1
-0.375,0.50219,1
-0.51325,0.46564,1
-0.52477,0.2098,1
-0.39804,0.034357,1
-0.30588,-0.19225,1
0.016705,-0.40424,1
0.13191,-0.51389,1
0.38537,-0.56506,1
0.52938,-0.5212,1
0.63882,-0.24342,1
0.73675,-0.18494,1
0.54666,0.48757,1
0.322,0.5826,1
0.16647,0.53874,1
-0.046659,0.81652,1
-0.17339,0.69956,1
-0.47869,0.63377,1
-0.60541,0.59722,1
-0.62846,0.33406,1
-0.59389,0.005117,1
-0.42108,-0.27266,1
-0.11578,-0.39693,1
0.20104,-0.60161,1
0.46601,-0.53582,1
0.67339,-0.53582,1
-0.13882,0.54605,1
-0.29435,0.77997,1
-0.26555,0.96272,1
-0.16187,0.8019,1
-0.17339,0.64839,1
-0.28283,0.47295,1
-0.36348,0.31213,1
-0.30012,0.027047,1
-0.23675,-0.21418,1
-0.06394,-0.18494,1
0.062788,-0.16301,1
0.22984,-0.41155,1
0.2932,-0.2288,1
0.48329,-0.18494,1
0.64459,-0.14108,1
0.46025,0.012427,1
0.6273,0.15863,1
0.57546,0.26827,1
0.72523,0.44371,1
0.22408,0.52412,1
0.44297,0.67032,1
0.322,0.69225,1
0.13767,0.57529,1
-0.0063364,0.39985,1
-0.092742,0.55336,1
-0.20795,0.35599,1
-0.20795,0.17325,1
-0.43836,0.21711,1
-0.21947,-0.016813,1
-0.13882,-0.27266,1
0.18376,0.93348,0
0.22408,0.77997,0
0.29896,0.61915,0
0.50634,0.75804,0
0.61578,0.7288,0
0.60426,0.59722,0
0.76555,0.50219,0
0.92684,0.3633,0
0.82316,0.27558,0
0.96141,0.085526,0
0.93836,0.012427,0
0.86348,-0.082602,0
0.89804,-0.20687,0
0.85196,-0.36769,0
0.82892,-0.5212,0
0.79435,-0.55775,0
0.59274,-0.7405,0
0.51786,-0.5943,0
0.46601,-0.41886,0
0.35081,-0.57968,0
0.28744,-0.76974,0
0.085829,-0.75512,0
0.14919,-0.57968,0
-0.13306,-0.4481,0
-0.40956,-0.41155,0
-0.39228,-0.25804,0
-0.74366,-0.25804,0
-0.69758,0.041667,0
-0.75518,0.2902,0
-0.69758,0.68494,0
-0.4038,0.70687,0
-0.38076,0.91886,0
-0.50749,0.90424,0
-0.54781,0.70687,0
0.10311,0.77997,0
0.057028,0.91886,0
-0.10426,0.99196,0
-0.081221,1.1089,0
0.28744,1.087,0
0.39689,0.82383,0
0.63882,0.88962,0
0.82316,0.66301,0
0.67339,0.64108,0
1.0709,0.10015,0
-0.046659,-0.57968,0
-0.23675,-0.63816,0
-0.15035,-0.36769,0
-0.49021,-0.3019,0
-0.46717,-0.13377,0
-0.28859,-0.060673,0
-0.61118,-0.067982,0
-0.66302,-0.21418,0
-0.59965,-0.41886,0
-0.72638,-0.082602,0
-0.83007,0.31213,0
-0.72062,0.53874,0
-0.59389,0.49488,0
-0.48445,0.99927,0
-0.0063364,0.99927,0
0.63265,-0.030612,0
