airline,ATL,DEN,DFW,IAH,LAS,LAX,MSP,ORD,PHX,SFO
AA,4.0,9.0,5.0,11.0,8.0,3.0,1.0,8.0,5.0,3.0
AS,6.0,-3.0,-5.0,1.0,2.0,-3.0,6.0,2.0,-9.0,4.0
B6,,12.0,4.0,,11.0,2.0,,23.0,20.0,5.0
DL,0.0,-3.0,10.0,3.0,-3.0,3.0,-1.0,7.0,-4.0,0.0
EV,7.0,14.0,10.0,3.0,,,10.0,8.0,-14.0,
F9,20.0,10.0,26.0,1.0,10.0,8.0,35.0,22.0,16.0,15.0
HA,,,,,13.0,1.0,,,2.0,8.0
MQ,21.0,,8.0,7.0,,28.0,72.0,6.0,,
NK,26.0,8.0,15.0,28.0,13.0,24.0,19.0,23.0,4.0,
OO,9.0,7.0,23.0,12.0,-3.0,8.0,2.0,10.0,3.0,9.0
UA,5.0,6.0,8.0,9.0,6.0,4.0,6.0,13.0,0.0,5.0
US,1.0,-0.0,2.0,-3.0,-5.0,4.0,-3.0,2.0,3.0,3.0
VX,,,,,2.0,5.0,,19.0,,5.0
WN,5.0,5.0,,,7.0,11.0,-0.0,,6.0,4.0
